submitted_at,started_at,finished_at,team,job_type,model_family,requested_gpus,requested_nodes,min_gpu_memory_gb,estimated_duration_min,actual_duration_min,priority,status,assigned_nodes,queue_wait_min,exit_reason,checkpoint_interval_min,job_id
2026-04-09T14:45:00Z,2026-04-09T15:42:00Z,2026-04-10T00:57:00Z,team-19,batch-inference,llm,2,1,80,720,555,normal,canceled,gpu-node-11,57,user_canceled,60,job-00481
2026-04-13T08:38:00Z,2026-04-13T12:21:00Z,2026-04-13T13:55:00Z,team-03,finetune,llm,16,2,80,90,94,low,completed,gpu-node-01|gpu-node-07,223,success,45,job-00679
2026-04-05T08:04:00Z,2026-04-05T10:10:00Z,2026-04-05T16:47:00Z,team-12,rlhf-batch,embedding,16,2,80,480,397,normal,completed,gpu-node-08|gpu-node-11,126,success,30,job-00240
2026-04-02T13:49:00Z,2026-04-02T18:16:00Z,2026-04-03T00:22:00Z,team-09,evaluation,multimodal,32,4,48,360,366,normal,completed,gpu-node-02|gpu-node-10|gpu-node-12|gpu-node-09,267,success,60,job-00073
2026-04-05T20:34:00Z,2026-04-05T21:18:00Z,2026-04-06T12:08:00Z,team-06,finetune,vision,1,1,80,720,890,low,completed,gpu-node-09,44,success,30,job-00266
2026-04-10T00:03:00Z,2026-04-10T00:45:00Z,2026-04-10T01:59:00Z,team-05,evaluation,llm,1,1,40,90,74,normal,completed,gpu-node-09,42,success,60,job-00515
2026-04-09T18:04:00Z,2026-04-09T18:25:00Z,2026-04-09T19:49:00Z,team-16,finetune,vision,1,1,40,120,84,normal,completed,gpu-node-06,21,success,45,job-00500
2026-04-08T04:07:00Z,2026-04-08T04:23:00Z,2026-04-08T04:48:00Z,team-07,batch-inference,vision,1,1,40,30,25,normal,completed,gpu-node-06,16,success,60,job-00408
2026-04-11T02:31:00Z,2026-04-11T02:50:00Z,2026-04-11T05:59:00Z,team-14,batch-inference,embedding,1,1,48,240,189,low,completed,gpu-node-03,19,success,90,job-00571
2026-04-13T20:00:00Z,2026-04-13T21:14:00Z,2026-04-14T00:33:00Z,team-18,rlhf-batch,embedding,8,1,40,240,199,normal,completed,gpu-node-12,74,success,30,job-00719
2026-04-09T04:48:00Z,2026-04-09T05:38:00Z,2026-04-09T07:13:00Z,team-07,embedding-index,vision,2,1,80,120,95,low,completed,gpu-node-02,50,success,90,job-00455
2026-04-11T03:45:00Z,2026-04-11T04:04:00Z,2026-04-11T05:56:00Z,team-07,embedding-index,multimodal,4,1,80,120,112,normal,completed,gpu-node-04,19,success,45,job-00575
2026-04-01T07:29:00Z,2026-04-01T09:23:00Z,2026-04-01T23:21:00Z,team-03,batch-inference,embedding,16,2,40,720,838,normal,completed,gpu-node-03|gpu-node-02,114,success,60,job-00013
2026-04-10T20:50:00Z,2026-04-10T22:39:00Z,2026-04-10T23:08:00Z,team-14,evaluation,multimodal,16,2,48,30,29,normal,completed,gpu-node-12|gpu-node-06,109,success,30,job-00556
2026-04-03T22:58:00Z,2026-04-03T23:46:00Z,2026-04-04T05:20:00Z,team-10,embedding-index,embedding,4,1,40,360,334,normal,completed,gpu-node-11,48,success,90,job-00140
2026-04-07T10:28:00Z,2026-04-07T14:30:00Z,2026-04-07T23:16:00Z,team-11,evaluation,llm,16,2,80,480,526,high,failed,gpu-node-12|gpu-node-02,242,user_code_error,30,job-00358
2026-04-05T16:59:00Z,2026-04-05T18:19:00Z,2026-04-05T19:22:00Z,team-04,finetune,multimodal,1,1,40,60,63,normal,completed,gpu-node-09,80,success,45,job-00256
2026-04-05T22:36:00Z,2026-04-05T23:06:00Z,2026-04-06T05:20:00Z,team-15,rlhf-batch,llm,4,1,48,360,374,high,completed,gpu-node-10,30,success,60,job-00270
2026-04-03T19:59:00Z,2026-04-03T20:45:00Z,2026-04-03T23:23:00Z,team-07,finetune,embedding,4,1,48,120,158,normal,completed,gpu-node-12,46,success,90,job-00131
2026-04-09T00:31:00Z,2026-04-09T00:40:00Z,2026-04-09T01:56:00Z,team-24,pretrain,multimodal,1,1,48,90,76,normal,completed,gpu-node-11,9,success,30,job-00445
2026-04-12T13:54:00Z,2026-04-12T14:36:00Z,2026-04-12T20:24:00Z,team-03,evaluation,multimodal,1,1,80,360,348,normal,completed,gpu-node-04,42,success,60,job-00640
2026-04-01T18:30:00Z,2026-04-01T18:51:00Z,2026-04-01T22:15:00Z,team-19,finetune,multimodal,1,1,48,180,204,normal,completed,gpu-node-04,21,success,30,job-00038
2026-04-02T18:12:00Z,2026-04-02T20:08:00Z,2026-04-03T01:48:00Z,team-18,pretrain,multimodal,16,2,80,360,340,normal,completed,gpu-node-07|gpu-node-09,116,success,90,job-00087
2026-04-05T16:04:00Z,2026-04-05T16:41:00Z,2026-04-05T17:17:00Z,team-22,evaluation,llm,1,1,48,60,36,normal,completed,gpu-node-10,37,success,30,job-00255
2026-04-14T05:51:00Z,2026-04-14T06:24:00Z,2026-04-14T08:09:00Z,team-18,finetune,multimodal,4,1,48,90,105,normal,completed,gpu-node-05,33,success,60,job-00742
2026-04-12T20:25:00Z,2026-04-12T20:43:00Z,2026-04-12T21:34:00Z,team-01,evaluation,llm,1,1,48,45,51,high,completed,gpu-node-07,18,success,60,job-00649
2026-04-13T20:44:00Z,2026-04-13T22:44:00Z,2026-04-14T08:18:00Z,team-08,finetune,embedding,16,2,40,480,574,normal,completed,gpu-node-07|gpu-node-10,120,success,30,job-00721
2026-04-01T06:41:00Z,2026-04-01T07:12:00Z,2026-04-01T10:39:00Z,team-09,batch-inference,embedding,1,1,80,240,207,low,completed,gpu-node-02,31,success,60,job-00010
2026-04-04T05:07:00Z,2026-04-04T05:39:00Z,2026-04-04T06:34:00Z,team-14,evaluation,embedding,1,1,48,60,55,normal,completed,gpu-node-07,32,success,60,job-00153
2026-04-07T12:54:00Z,2026-04-07T13:39:00Z,2026-04-07T22:49:00Z,team-04,finetune,embedding,1,1,40,720,550,normal,completed,gpu-node-11,45,success,30,job-00367
2026-04-05T05:47:00Z,2026-04-05T06:15:00Z,2026-04-05T14:48:00Z,team-09,batch-inference,multimodal,1,1,48,480,513,normal,completed,gpu-node-12,28,success,60,job-00237
2026-04-12T08:23:00Z,2026-04-12T09:15:00Z,2026-04-12T09:46:00Z,team-01,finetune,llm,4,1,48,30,31,low,completed,gpu-node-03,52,success,60,job-00631
2026-04-12T08:06:00Z,2026-04-12T08:36:00Z,2026-04-12T16:47:00Z,team-23,batch-inference,embedding,1,1,48,480,491,normal,completed,gpu-node-01,30,success,45,job-00628
2026-04-10T08:46:00Z,2026-04-10T09:22:00Z,2026-04-10T13:50:00Z,team-06,pretrain,llm,4,1,40,360,268,normal,failed,gpu-node-05,36,cuda_out_of_memory,30,job-00532
2026-04-07T20:34:00Z,2026-04-08T00:28:00Z,2026-04-08T00:59:00Z,team-02,rlhf-batch,embedding,32,4,48,30,31,normal,completed,gpu-node-04|gpu-node-05|gpu-node-08|gpu-node-01,234,success,30,job-00389
2026-04-11T11:07:00Z,2026-04-11T12:00:00Z,2026-04-11T14:20:00Z,team-06,finetune,multimodal,2,1,48,120,140,normal,completed,gpu-node-07,53,success,30,job-00587
2026-04-01T15:02:00Z,2026-04-01T16:38:00Z,2026-04-01T21:20:00Z,team-05,evaluation,llm,8,1,48,360,282,normal,completed,gpu-node-05,96,success,45,job-00027
2026-04-13T15:23:00Z,2026-04-13T15:54:00Z,2026-04-13T16:28:00Z,team-14,batch-inference,embedding,2,1,48,30,34,high,completed,gpu-node-07,31,success,60,job-00710
2026-04-06T08:57:00Z,2026-04-06T09:17:00Z,2026-04-06T10:03:00Z,team-01,finetune,vision,2,1,80,45,46,high,completed,gpu-node-12,20,success,90,job-00291
2026-04-05T17:57:00Z,2026-04-05T18:30:00Z,2026-04-06T06:09:00Z,team-19,batch-inference,llm,2,1,40,720,699,normal,completed,gpu-node-01,33,success,90,job-00259
2026-04-04T08:05:00Z,2026-04-04T09:09:00Z,2026-04-04T18:07:00Z,team-06,finetune,embedding,1,1,80,480,538,low,completed,gpu-node-03,64,success,90,job-00157
2026-04-03T21:18:00Z,2026-04-03T21:39:00Z,2026-04-03T22:06:00Z,team-10,evaluation,llm,2,1,40,30,27,normal,completed,gpu-node-09,21,success,45,job-00134
2026-04-13T05:28:00Z,2026-04-13T07:40:00Z,2026-04-13T08:44:00Z,team-02,embedding-index,embedding,8,1,80,60,64,low,completed,gpu-node-07,132,success,60,job-00670
2026-04-12T08:36:00Z,2026-04-12T10:12:00Z,2026-04-13T00:46:00Z,team-24,finetune,llm,4,1,40,720,874,low,completed,gpu-node-12,96,success,90,job-00632
2026-04-02T06:22:00Z,2026-04-02T07:20:00Z,2026-04-02T07:50:00Z,team-16,rlhf-batch,multimodal,4,1,48,30,30,normal,completed,gpu-node-04,58,success,30,job-00059
2026-04-13T22:19:00Z,2026-04-13T22:35:00Z,2026-04-14T06:11:00Z,team-22,evaluation,vision,1,1,40,480,456,normal,completed,gpu-node-05,16,success,30,job-00725
2026-04-05T00:12:00Z,2026-04-05T01:01:00Z,2026-04-05T01:31:00Z,team-16,embedding-index,multimodal,1,1,48,30,30,normal,completed,gpu-node-03,49,success,30,job-00222
2026-04-02T03:24:00Z,2026-04-02T03:36:00Z,2026-04-02T05:29:00Z,team-17,finetune,vision,1,1,80,180,113,normal,completed,gpu-node-12,12,success,30,job-00055
2026-04-09T14:42:00Z,2026-04-09T21:10:00Z,2026-04-10T02:42:00Z,team-02,finetune,llm,32,4,80,360,332,low,completed,gpu-node-10|gpu-node-03|gpu-node-01|gpu-node-04,388,success,30,job-00480
2026-04-01T16:18:00Z,2026-04-01T17:03:00Z,2026-04-01T23:56:00Z,team-19,embedding-index,multimodal,1,1,40,360,413,normal,failed,gpu-node-10,45,cuda_out_of_memory,90,job-00030
2026-04-14T05:31:00Z,2026-04-14T05:47:00Z,2026-04-14T11:24:00Z,team-16,batch-inference,multimodal,1,1,40,360,337,high,completed,gpu-node-12,16,success,30,job-00741
2026-04-02T00:17:00Z,2026-04-02T01:04:00Z,2026-04-02T02:42:00Z,team-19,evaluation,embedding,2,1,48,90,98,normal,completed,gpu-node-02,47,success,60,job-00048
2026-04-11T11:45:00Z,2026-04-11T15:42:00Z,2026-04-11T23:25:00Z,team-03,finetune,vision,16,2,40,480,463,low,completed,gpu-node-04|gpu-node-10,237,success,45,job-00590
2026-04-12T13:08:00Z,2026-04-12T13:55:00Z,2026-04-12T15:01:00Z,team-01,evaluation,vision,4,1,48,60,66,normal,completed,gpu-node-04,47,success,90,job-00638
2026-04-14T17:39:00Z,2026-04-14T23:11:00Z,2026-04-15T02:26:00Z,team-06,evaluation,llm,32,4,80,240,195,low,completed,gpu-node-08|gpu-node-09|gpu-node-03|gpu-node-06,332,success,30,job-00764
2026-04-03T07:33:00Z,2026-04-03T07:34:00Z,2026-04-03T16:20:00Z,team-01,finetune,embedding,1,1,80,480,526,high,completed,gpu-node-11,1,success,90,job-00111
2026-04-04T01:29:00Z,2026-04-04T03:42:00Z,2026-04-04T06:16:00Z,team-09,batch-inference,vision,8,1,80,120,154,low,completed,gpu-node-07,133,success,90,job-00147
2026-04-14T07:26:00Z,2026-04-14T08:21:00Z,2026-04-14T08:51:00Z,team-03,finetune,llm,2,1,80,30,30,normal,completed,gpu-node-05,55,success,45,job-00744
2026-04-12T11:35:00Z,2026-04-12T12:21:00Z,2026-04-12T13:16:00Z,team-13,rlhf-batch,multimodal,2,1,80,60,55,normal,completed,gpu-node-04,46,success,30,job-00636
2026-04-05T13:44:00Z,2026-04-05T15:44:00Z,2026-04-05T23:32:00Z,team-05,pretrain,multimodal,32,4,80,480,468,high,completed,gpu-node-01|gpu-node-04|gpu-node-10|gpu-node-05,120,success,60,job-00251
2026-04-03T00:39:00Z,2026-04-03T01:32:00Z,2026-04-03T02:15:00Z,team-16,embedding-index,embedding,4,1,48,45,43,normal,completed,gpu-node-09,53,success,90,job-00097
2026-04-09T13:38:00Z,2026-04-09T14:37:00Z,2026-04-09T15:43:00Z,team-12,evaluation,llm,8,1,40,60,66,normal,completed,gpu-node-04,59,success,45,job-00472
2026-04-08T08:50:00Z,2026-04-08T09:22:00Z,2026-04-08T11:35:00Z,team-17,finetune,embedding,1,1,40,240,133,low,completed,gpu-node-12,32,success,60,job-00419
2026-04-13T09:34:00Z,2026-04-13T10:12:00Z,2026-04-13T11:31:00Z,team-04,batch-inference,embedding,2,1,40,60,79,low,completed,gpu-node-01,38,success,30,job-00682
2026-04-09T07:57:00Z,2026-04-09T08:23:00Z,2026-04-09T11:24:00Z,team-09,batch-inference,multimodal,1,1,80,180,181,low,completed,gpu-node-12,26,success,60,job-00464
2026-04-10T15:04:00Z,2026-04-10T16:01:00Z,2026-04-10T16:30:00Z,team-13,batch-inference,embedding,8,1,48,30,29,high,completed,gpu-node-07,57,success,30,job-00544
2026-04-11T12:41:00Z,2026-04-11T13:05:00Z,2026-04-11T22:48:00Z,team-06,rlhf-batch,llm,1,1,40,720,583,normal,completed,gpu-node-02,24,success,30,job-00592
2026-04-09T17:07:00Z,2026-04-09T17:42:00Z,2026-04-09T19:15:00Z,team-10,pretrain,llm,4,1,48,120,93,normal,completed,gpu-node-04,35,success,45,job-00499
2026-04-14T17:59:00Z,2026-04-14T18:16:00Z,2026-04-14T21:19:00Z,team-17,batch-inference,embedding,1,1,48,180,183,high,completed,gpu-node-07,17,success,60,job-00765
2026-04-06T16:44:00Z,2026-04-06T18:44:00Z,2026-04-06T19:20:00Z,team-09,evaluation,llm,4,1,48,30,36,low,completed,gpu-node-02,120,success,45,job-00308
2026-04-07T08:52:00Z,2026-04-07T09:08:00Z,2026-04-07T11:19:00Z,team-07,pretrain,vision,1,1,80,180,131,normal,completed,gpu-node-11,16,success,30,job-00353
2026-04-03T18:38:00Z,2026-04-03T20:06:00Z,2026-04-03T20:42:00Z,team-02,embedding-index,embedding,8,1,80,45,36,normal,completed,gpu-node-02,88,success,45,job-00128
2026-04-01T21:14:00Z,2026-04-01T22:06:00Z,2026-04-01T23:02:00Z,team-04,batch-inference,llm,1,1,40,45,56,low,completed,gpu-node-01,52,success,60,job-00043
2026-04-14T19:49:00Z,2026-04-14T21:15:00Z,2026-04-15T01:51:00Z,team-04,pretrain,multimodal,8,1,48,360,276,normal,completed,gpu-node-05,86,success,90,job-00770
2026-04-03T21:50:00Z,2026-04-04T00:26:00Z,2026-04-04T05:29:00Z,team-06,evaluation,multimodal,16,2,40,240,303,normal,completed,gpu-node-04|gpu-node-01,156,success,45,job-00137
2026-04-14T15:12:00Z,2026-04-14T16:57:00Z,2026-04-14T17:54:00Z,team-21,finetune,multimodal,4,1,40,60,57,low,completed,gpu-node-09,105,success,30,job-00758
2026-04-14T03:24:00Z,2026-04-14T03:50:00Z,2026-04-14T09:17:00Z,team-19,finetune,multimodal,1,1,40,240,327,normal,completed,gpu-node-09,26,success,30,job-00734
2026-04-07T00:17:00Z,2026-04-07T00:21:00Z,2026-04-07T09:36:00Z,team-17,batch-inference,vision,1,1,40,720,555,low,completed,gpu-node-10,4,success,90,job-00334
2026-04-05T12:40:00Z,2026-04-05T13:58:00Z,2026-04-05T20:27:00Z,team-08,evaluation,llm,4,1,80,480,389,low,completed,gpu-node-12,78,success,30,job-00248
2026-04-11T03:39:00Z,2026-04-11T04:07:00Z,2026-04-11T17:02:00Z,team-10,batch-inference,embedding,1,1,48,720,775,normal,completed,gpu-node-08,28,success,90,job-00574
2026-04-09T23:35:00Z,2026-04-10T00:43:00Z,2026-04-10T09:47:00Z,team-23,finetune,llm,8,1,40,480,544,normal,completed,gpu-node-02,68,success,90,job-00512
2026-04-12T09:13:00Z,2026-04-12T10:19:00Z,2026-04-12T10:53:00Z,team-06,batch-inference,multimodal,4,1,40,30,34,normal,failed,gpu-node-12,66,node_lost,60,job-00633
2026-04-05T19:21:00Z,2026-04-05T20:28:00Z,2026-04-05T22:56:00Z,team-10,batch-inference,embedding,8,1,80,120,148,normal,completed,gpu-node-04,67,success,60,job-00263
2026-04-13T14:38:00Z,2026-04-13T15:06:00Z,2026-04-13T19:31:00Z,team-17,finetune,embedding,1,1,48,360,265,low,completed,gpu-node-03,28,success,30,job-00707
2026-04-08T22:46:00Z,2026-04-08T23:18:00Z,2026-04-09T00:20:00Z,team-01,finetune,multimodal,1,1,40,90,62,normal,completed,gpu-node-11,32,success,30,job-00443
2026-04-01T18:09:00Z,2026-04-01T18:29:00Z,2026-04-01T22:34:00Z,team-01,batch-inference,multimodal,1,1,80,240,245,normal,completed,gpu-node-06,20,success,60,job-00034
2026-04-13T18:35:00Z,2026-04-13T18:57:00Z,2026-04-13T19:40:00Z,team-08,finetune,vision,2,1,40,45,43,high,completed,gpu-node-04,22,success,30,job-00717
2026-04-03T02:39:00Z,2026-04-03T03:06:00Z,2026-04-03T04:39:00Z,team-19,batch-inference,llm,1,1,40,90,93,low,completed,gpu-node-10,27,success,45,job-00102
2026-04-09T00:42:00Z,2026-04-09T01:18:00Z,2026-04-09T04:10:00Z,team-23,finetune,embedding,2,1,80,120,172,normal,completed,gpu-node-02,36,success,60,job-00446
2026-04-03T21:37:00Z,2026-04-04T00:50:00Z,2026-04-04T05:37:00Z,team-20,pretrain,embedding,16,2,80,240,287,low,completed,gpu-node-06|gpu-node-04,193,success,30,job-00135
2026-04-12T19:28:00Z,2026-04-12T20:41:00Z,2026-04-12T22:01:00Z,team-15,batch-inference,llm,8,1,80,90,80,normal,failed,gpu-node-02,73,user_code_error,45,job-00647
2026-04-06T00:04:00Z,2026-04-06T01:23:00Z,2026-04-06T08:36:00Z,team-23,rlhf-batch,llm,8,1,40,480,433,normal,failed,gpu-node-11,79,cuda_out_of_memory,90,job-00275
2026-04-12T02:38:00Z,2026-04-12T03:09:00Z,2026-04-12T04:33:00Z,team-10,finetune,multimodal,1,1,80,90,84,low,completed,gpu-node-03,31,success,60,job-00616
2026-04-02T09:15:00Z,2026-04-02T09:40:00Z,2026-04-02T12:34:00Z,team-15,finetune,llm,1,1,80,180,174,normal,completed,gpu-node-10,25,success,45,job-00062
2026-04-12T05:42:00Z,2026-04-12T07:40:00Z,2026-04-12T08:23:00Z,team-16,embedding-index,vision,8,1,40,45,43,low,completed,gpu-node-06,118,success,60,job-00622
2026-04-09T15:03:00Z,2026-04-09T17:27:00Z,2026-04-09T18:20:00Z,team-02,finetune,llm,8,1,48,45,53,low,completed,gpu-node-10,144,success,60,job-00482
2026-04-14T05:20:00Z,2026-04-14T05:55:00Z,2026-04-14T14:13:00Z,team-08,batch-inference,llm,2,1,48,360,498,normal,completed,gpu-node-07,35,success,30,job-00740
2026-04-09T21:24:00Z,2026-04-09T22:47:00Z,2026-04-10T07:33:00Z,team-20,finetune,vision,1,1,48,480,526,low,completed,gpu-node-06,83,success,30,job-00507
2026-04-05T05:27:00Z,2026-04-05T06:35:00Z,2026-04-05T14:00:00Z,team-10,finetune,embedding,8,1,48,480,445,low,completed,gpu-node-11,68,success,30,job-00235
2026-04-07T10:24:00Z,2026-04-07T11:11:00Z,2026-04-07T11:44:00Z,team-24,finetune,embedding,4,1,48,30,33,high,completed,gpu-node-12,47,success,45,job-00357
2026-04-07T22:04:00Z,2026-04-07T22:57:00Z,2026-04-08T02:10:00Z,team-24,pretrain,multimodal,4,1,48,180,193,normal,completed,gpu-node-10,53,success,30,job-00394
2026-04-01T00:56:00Z,2026-04-01T01:06:00Z,2026-04-01T05:26:00Z,team-16,finetune,multimodal,2,1,48,240,260,high,completed,gpu-node-11,10,success,45,job-00003
2026-04-01T14:11:00Z,2026-04-01T15:33:00Z,2026-04-01T22:24:00Z,team-08,finetune,vision,1,1,40,720,411,normal,completed,gpu-node-04,82,success,45,job-00024
2026-04-02T12:25:00Z,2026-04-02T12:46:00Z,2026-04-02T15:17:00Z,team-03,pretrain,embedding,1,1,40,180,151,normal,completed,gpu-node-05,21,success,90,job-00071
2026-04-07T03:49:00Z,2026-04-07T04:09:00Z,2026-04-07T04:35:00Z,team-04,finetune,embedding,1,1,48,30,26,normal,completed,gpu-node-07,20,success,30,job-00341
2026-04-02T13:56:00Z,2026-04-02T14:35:00Z,2026-04-02T15:01:00Z,team-22,embedding-index,multimodal,2,1,48,30,26,low,completed,gpu-node-08,39,success,60,job-00075
2026-04-06T09:47:00Z,2026-04-06T10:16:00Z,2026-04-06T10:41:00Z,team-03,finetune,vision,1,1,40,30,25,high,completed,gpu-node-04,29,success,30,job-00293
2026-04-05T06:05:00Z,2026-04-05T06:51:00Z,2026-04-05T08:43:00Z,team-11,embedding-index,embedding,2,1,40,120,112,normal,completed,gpu-node-12,46,success,90,job-00238
2026-04-10T14:15:00Z,2026-04-10T15:13:00Z,2026-04-10T20:39:00Z,team-19,rlhf-batch,multimodal,1,1,48,360,326,low,completed,gpu-node-03,58,success,30,job-00541
2026-04-08T21:57:00Z,2026-04-09T00:29:00Z,2026-04-09T01:30:00Z,team-23,evaluation,vision,8,1,48,60,61,low,completed,gpu-node-11,152,success,60,job-00441
2026-04-14T15:57:00Z,2026-04-14T16:27:00Z,2026-04-14T17:26:00Z,team-10,batch-inference,vision,1,1,80,45,59,normal,completed,gpu-node-03,30,success,60,job-00762
2026-04-07T13:29:00Z,2026-04-07T14:07:00Z,2026-04-07T16:16:00Z,team-01,evaluation,multimodal,2,1,40,120,129,normal,completed,gpu-node-08,38,success,45,job-00371
2026-04-14T15:19:00Z,2026-04-14T15:48:00Z,2026-04-14T16:49:00Z,team-17,finetune,llm,1,1,48,90,61,normal,completed,gpu-node-01,29,success,45,job-00760
2026-04-01T19:17:00Z,2026-04-01T19:54:00Z,2026-04-01T22:06:00Z,team-21,rlhf-batch,vision,2,1,48,120,132,normal,completed,gpu-node-03,37,success,45,job-00041
2026-04-06T16:24:00Z,2026-04-06T17:01:00Z,2026-04-07T02:56:00Z,team-16,embedding-index,vision,2,1,48,480,595,normal,completed,gpu-node-05,37,success,45,job-00306
